IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.17.48.58,4,4,0.00,58.36,0.00
104.16.245.87,4,4,0.00,58.81,0.00
104.17.51.151,4,4,0.00,59.52,0.00
104.16.249.81,4,4,0.00,60.88,0.00
104.17.119.194,4,4,0.00,61.36,0.00
104.17.53.179,4,4,0.00,61.82,0.00
104.16.253.212,4,4,0.00,62.61,0.00
104.18.88.186,4,4,0.00,63.39,0.00
104.17.101.200,4,4,0.00,63.47,0.00
162.159.201.129,4,4,0.00,64.89,0.00
