IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.17.96.50,4,4,0.00,63.21,0.00
104.16.141.90,4,4,0.00,68.18,0.00
198.41.216.33,4,4,0.00,72.21,0.00
172.65.189.3,4,4,0.00,81.80,0.00
172.65.188.211,4,4,0.00,86.07,0.00
104.18.117.131,4,4,0.00,91.87,0.00
104.17.146.210,4,4,0.00,93.06,0.00
104.17.138.144,4,4,0.00,96.01,0.00
172.64.144.45,4,4,0.00,96.16,0.00
104.18.176.104,4,4,0.00,102.57,0.00
