IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
172.64.229.25,4,4,0.00,132.33,0.00
104.16.250.173,4,4,0.00,168.27,0.00
104.17.47.135,4,4,0.00,169.78,0.00
104.16.247.243,4,4,0.00,170.20,0.00
104.16.168.196,4,4,0.00,170.76,0.00
190.93.244.137,4,4,0.00,170.81,0.00
104.17.107.92,4,4,0.00,170.82,0.00
104.17.28.195,4,4,0.00,171.06,0.00
104.17.105.28,4,4,0.00,171.35,0.00
162.159.60.145,4,4,0.00,171.47,0.00
104.17.15.104,4,4,0.00,171.60,0.00
104.16.230.121,4,4,0.00,171.72,0.00
104.17.23.65,4,4,0.00,171.86,0.00
104.16.51.76,4,4,0.00,172.12,0.00
141.101.114.21,4,4,0.00,172.39,0.00
104.17.115.140,4,4,0.00,172.43,0.00
104.16.214.169,4,4,0.00,172.73,0.00
104.19.227.48,4,4,0.00,172.82,0.00
104.19.238.93,4,4,0.00,172.92,0.00
104.17.53.229,4,4,0.00,172.96,0.00
172.64.230.4,4,4,0.00,173.00,0.00
104.19.228.124,4,4,0.00,173.03,0.00
104.17.121.218,4,4,0.00,173.03,0.00
104.17.110.132,4,4,0.00,173.08,0.00
104.16.242.106,4,4,0.00,173.08,0.00
104.16.173.232,4,4,0.00,173.17,0.00
104.17.180.161,4,4,0.00,173.23,0.00
104.17.20.83,4,4,0.00,173.31,0.00
104.17.211.24,4,4,0.00,173.46,0.00
103.21.244.44,4,4,0.00,173.49,0.00
104.17.51.231,4,4,0.00,173.56,0.00
172.64.152.96,4,4,0.00,173.58,0.00
104.19.230.215,4,4,0.00,173.66,0.00
104.18.76.42,4,4,0.00,173.67,0.00
104.17.210.149,4,4,0.00,173.71,0.00
172.65.228.202,4,4,0.00,173.77,0.00
104.17.50.123,4,4,0.00,173.78,0.00
162.159.4.34,4,4,0.00,173.79,0.00
172.64.92.118,4,4,0.00,173.81,0.00
104.17.218.182,4,4,0.00,173.93,0.00
104.19.116.147,4,4,0.00,173.94,0.00
172.65.242.151,4,4,0.00,173.94,0.00
104.18.196.137,4,4,0.00,173.99,0.00
104.19.221.111,4,4,0.00,174.08,0.00
104.17.196.15,4,4,0.00,174.15,0.00
108.162.192.107,4,4,0.00,174.18,0.00
172.64.37.149,4,4,0.00,174.22,0.00
104.18.50.194,4,4,0.00,174.24,0.00
104.17.113.136,4,4,0.00,174.28,0.00
104.19.199.224,4,4,0.00,174.40,0.00
172.64.68.128,4,4,0.00,174.41,0.00
104.17.36.1,4,4,0.00,174.41,0.00
104.16.245.77,4,4,0.00,174.56,0.00
104.17.195.122,4,4,0.00,174.58,0.00
104.18.37.66,4,4,0.00,174.63,0.00
104.19.198.140,4,4,0.00,174.85,0.00
104.17.227.118,4,4,0.00,174.90,0.00
104.17.77.150,4,4,0.00,174.95,0.00
104.17.239.173,4,4,0.00,174.95,0.00
104.17.44.35,4,4,0.00,174.96,0.00
162.159.46.187,4,4,0.00,174.97,0.00
172.65.224.25,4,4,0.00,175.00,0.00
104.17.62.183,4,4,0.00,175.01,0.00
104.17.212.46,4,4,0.00,175.16,0.00
104.16.130.219,4,4,0.00,175.18,0.00
104.17.60.69,4,4,0.00,175.18,0.00
104.17.252.35,4,4,0.00,175.24,0.00
162.159.36.154,4,4,0.00,175.24,0.00
104.19.225.37,4,4,0.00,175.36,0.00
104.17.188.14,4,4,0.00,175.45,0.00
172.64.32.170,4,4,0.00,175.54,0.00
104.17.193.196,4,4,0.00,175.75,0.00
172.64.38.117,4,4,0.00,175.78,0.00
104.16.154.127,4,4,0.00,175.80,0.00
104.17.12.220,4,4,0.00,175.88,0.00
104.17.185.63,4,4,0.00,175.88,0.00
104.19.62.252,4,4,0.00,175.90,0.00
104.17.208.73,4,4,0.00,175.90,0.00
104.19.207.93,4,4,0.00,175.94,0.00
172.65.255.141,4,4,0.00,176.04,0.00
162.159.49.140,4,4,0.00,176.07,0.00
104.17.84.71,4,4,0.00,176.13,0.00
172.64.42.195,4,4,0.00,176.15,0.00
162.159.56.93,4,4,0.00,176.16,0.00
104.19.200.27,4,4,0.00,176.19,0.00
104.17.70.113,4,4,0.00,176.19,0.00
104.16.231.225,4,4,0.00,176.20,0.00
172.64.47.254,4,4,0.00,176.25,0.00
104.17.138.105,4,4,0.00,176.29,0.00
104.17.191.15,4,4,0.00,176.33,0.00
104.17.222.221,4,4,0.00,176.34,0.00
104.17.25.90,4,4,0.00,176.35,0.00
104.17.215.142,4,4,0.00,176.43,0.00
104.16.211.71,4,4,0.00,176.53,0.00
104.17.24.106,4,4,0.00,176.55,0.00
104.19.26.189,4,4,0.00,176.55,0.00
172.64.40.131,4,4,0.00,176.58,0.00
104.17.88.141,4,4,0.00,176.61,0.00
104.16.165.205,4,4,0.00,176.62,0.00
104.17.255.17,4,4,0.00,176.82,0.00
104.31.16.143,4,4,0.00,176.85,0.00
104.17.204.211,4,4,0.00,176.85,0.00
104.17.43.66,4,4,0.00,176.86,0.00
104.16.243.224,4,4,0.00,176.89,0.00
104.16.234.4,4,4,0.00,176.91,0.00
104.17.57.196,4,4,0.00,176.91,0.00
104.17.89.204,4,4,0.00,176.92,0.00
104.17.200.218,4,4,0.00,176.95,0.00
172.65.222.41,4,4,0.00,176.97,0.00
104.19.162.156,4,4,0.00,177.00,0.00
104.17.22.242,4,4,0.00,177.06,0.00
104.16.206.248,4,4,0.00,177.07,0.00
104.17.114.232,4,4,0.00,177.13,0.00
172.64.48.50,4,4,0.00,177.13,0.00
104.19.5.86,4,4,0.00,177.14,0.00
104.17.220.103,4,4,0.00,177.17,0.00
172.64.150.88,4,4,0.00,177.25,0.00
172.64.35.54,4,4,0.00,177.31,0.00
104.19.144.85,4,4,0.00,177.37,0.00
172.66.40.38,4,4,0.00,177.38,0.00
104.17.245.177,4,4,0.00,177.42,0.00
104.18.176.35,4,4,0.00,177.45,0.00
198.41.201.4,4,4,0.00,177.45,0.00
162.159.58.121,4,4,0.00,177.45,0.00
172.64.151.158,4,4,0.00,177.48,0.00
104.18.42.11,4,4,0.00,177.48,0.00
162.159.26.170,4,4,0.00,177.51,0.00
198.41.196.168,4,4,0.00,177.60,0.00
104.16.62.148,4,4,0.00,177.60,0.00
104.17.9.111,4,4,0.00,177.62,0.00
104.17.199.46,4,4,0.00,177.64,0.00
172.65.240.197,4,4,0.00,177.67,0.00
