IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
141.101.120.213,4,4,0.00,191.99,536.12
104.19.49.102,4,4,0.00,194.34,533.90
162.159.240.79,4,4,0.00,194.34,527.76
162.159.252.33,4,4,0.00,192.01,458.65
104.19.242.243,4,4,0.00,194.29,331.76
162.159.252.249,4,4,0.00,191.98,330.25
104.16.115.42,4,4,0.00,191.99,326.20
162.159.255.63,4,4,0.00,194.36,322.70
104.16.124.164,4,4,0.00,191.98,322.70
104.16.116.239,4,4,0.00,194.30,322.62
104.21.228.180,4,4,0.00,194.30,322.52
104.19.29.223,4,4,0.00,191.93,321.34
162.159.255.185,4,4,0.00,191.95,320.76
162.159.255.104,4,4,0.00,194.25,319.98
104.19.242.178,4,4,0.00,192.01,318.87
104.21.234.65,4,4,0.00,194.27,315.31
198.41.193.13,4,4,0.00,194.25,300.22
104.21.227.22,4,4,0.00,191.97,296.49
104.16.115.201,4,4,0.00,191.96,283.45
104.19.247.203,4,4,0.00,194.33,281.12
104.21.227.46,4,4,0.00,194.36,270.81
104.18.22.114,4,4,0.00,194.36,268.77
104.16.115.205,4,4,0.00,194.27,247.17
104.16.125.13,4,4,0.00,194.37,177.05
104.21.225.231,4,4,0.00,194.34,142.54
162.159.45.232,4,4,0.00,191.99,141.80
104.18.60.69,4,4,0.00,194.29,114.22
162.159.44.219,4,4,0.00,189.65,105.82
104.21.238.37,4,4,0.00,193.29,98.60
162.159.207.227,4,4,0.00,184.92,96.45
162.159.254.220,4,4,0.00,193.24,95.41
162.159.247.129,4,4,0.00,193.42,87.91
162.159.207.49,4,4,0.00,191.25,87.36
162.159.45.235,4,4,0.00,191.22,85.75
104.18.18.247,4,4,0.00,190.89,83.27
104.19.134.189,4,4,0.00,190.67,82.97
104.21.226.248,4,4,0.00,191.80,82.26
162.159.207.162,4,4,0.00,191.73,82.00
104.16.120.103,4,4,0.00,187.89,81.86
104.19.248.52,4,4,0.00,195.43,81.67
162.159.241.109,4,4,0.00,191.72,81.44
104.21.238.139,4,4,0.00,190.49,81.07
104.21.236.108,4,4,0.00,192.59,80.74
104.18.126.17,4,4,0.00,191.10,79.95
104.21.225.64,4,4,0.00,193.89,71.08
104.18.120.83,4,4,0.00,191.50,70.76
162.159.207.48,4,4,0.00,191.91,70.17
162.159.207.44,4,4,0.00,191.28,69.51
104.18.118.59,4,4,0.00,192.50,68.94
162.159.255.60,4,4,0.00,193.90,68.34
104.19.16.142,4,4,0.00,193.51,67.04
162.159.241.84,4,4,0.00,194.20,66.50
104.16.123.168,4,4,0.00,190.29,65.90
104.19.110.125,4,4,0.00,194.16,65.22
141.101.121.107,4,4,0.00,189.56,60.15
104.21.225.236,4,4,0.00,191.68,59.94
141.101.120.187,4,4,0.00,189.79,59.43
141.101.120.19,4,4,0.00,189.56,53.87
104.18.127.119,4,4,0.00,193.51,51.78
172.64.48.193,4,4,0.00,187.66,51.45
173.245.49.200,4,4,0.00,193.72,50.24
141.101.120.70,4,4,0.00,188.04,48.47
104.19.7.25,4,4,0.00,191.78,48.37
141.101.120.44,4,4,0.00,191.64,46.58
162.159.207.28,4,4,0.00,194.15,46.35
104.21.224.82,4,4,0.00,193.41,44.31
141.101.120.66,4,4,0.00,190.97,44.02
141.101.120.79,4,4,0.00,192.52,43.94
104.19.242.173,4,4,0.00,193.69,43.60
173.245.49.255,4,4,0.00,193.57,43.01
162.159.252.2,4,4,0.00,192.62,39.69
104.16.127.203,4,4,0.00,195.45,39.58
141.101.121.111,4,4,0.00,187.88,39.24
173.245.49.246,4,4,0.00,187.82,36.74
198.41.218.2,4,4,0.00,191.35,34.40
104.16.124.89,4,4,0.00,190.88,33.70
141.101.120.218,4,4,0.00,189.92,33.64
162.159.45.216,4,4,0.00,192.43,33.23
162.159.246.107,4,4,0.00,193.27,32.76
162.159.45.170,4,4,0.00,193.94,32.22
162.159.45.3,4,4,0.00,189.58,32.20
162.159.45.199,4,4,0.00,194.17,31.50
141.101.120.93,4,4,0.00,189.93,30.96
104.19.134.186,4,4,0.00,195.39,30.69
173.245.49.250,4,4,0.00,194.89,30.11
198.41.218.63,4,4,0.00,190.60,29.33
141.101.120.142,4,4,0.00,191.60,29.16
104.19.106.46,4,4,0.00,190.26,28.23
162.159.207.52,4,4,0.00,191.54,28.19
104.19.243.8,4,4,0.00,190.92,27.71
104.18.121.228,4,4,0.00,193.74,27.56
141.101.121.56,4,4,0.00,191.24,26.95
162.159.207.23,4,4,0.00,194.19,26.93
104.16.116.65,4,4,0.00,190.31,26.84
162.159.39.78,4,4,0.00,190.52,26.74
