IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.19.124.75,4,4,0.00,178.11,0.00
104.19.66.63,4,4,0.00,178.53,0.00
104.19.36.110,4,4,0.00,178.87,0.00
141.101.120.105,4,4,0.00,181.11,0.00
141.101.121.60,4,4,0.00,181.37,0.00
141.101.122.198,4,4,0.00,181.85,0.00
104.19.58.177,4,4,0.00,182.27,0.00
104.19.0.238,4,4,0.00,182.28,0.00
173.245.49.142,4,4,0.00,183.85,0.00
104.19.22.198,4,4,0.00,184.24,0.00
104.19.20.81,4,4,0.00,185.01,0.00
104.19.47.84,4,4,0.00,185.36,0.00
104.19.72.34,4,4,0.00,185.89,0.00
104.19.8.180,4,4,0.00,186.31,0.00
162.159.39.197,4,4,0.00,186.36,0.00
104.19.99.85,4,4,0.00,187.05,0.00
104.16.114.110,4,4,0.00,188.15,0.00
104.19.6.37,4,4,0.00,188.46,0.00
104.18.116.54,4,4,0.00,189.34,0.00
104.18.115.50,4,4,0.00,189.37,0.00
104.19.76.107,4,4,0.00,190.26,0.00
104.19.23.123,4,4,0.00,190.48,0.00
104.19.1.1,4,4,0.00,190.71,0.00
104.18.26.159,4,4,0.00,190.75,0.00
162.159.251.213,4,4,0.00,191.21,0.00
104.18.117.93,4,4,0.00,192.12,0.00
104.16.125.126,4,4,0.00,194.93,0.00
104.19.139.122,4,4,0.00,195.15,0.00
162.159.44.154,4,4,0.00,196.78,0.00
141.101.123.70,4,4,0.00,196.95,0.00
162.159.45.27,4,4,0.00,196.96,0.00
162.159.38.195,4,4,0.00,197.38,0.00
104.19.73.153,4,4,0.00,198.42,0.00
104.19.108.180,4,4,0.00,199.83,0.00
104.18.126.198,4,4,0.00,204.01,0.00
104.18.118.231,4,4,0.00,204.46,0.00
172.64.40.224,4,4,0.00,208.55,0.00
172.64.42.219,4,4,0.00,210.24,0.00
104.19.231.191,4,4,0.00,220.47,0.00
104.19.217.203,4,4,0.00,221.53,0.00
172.65.44.247,4,4,0.00,227.05,0.00
172.64.53.234,4,4,0.00,228.10,0.00
172.67.188.222,4,4,0.00,228.25,0.00
172.64.48.109,4,4,0.00,229.18,0.00
172.67.138.100,4,4,0.00,230.05,0.00
172.67.198.212,4,4,0.00,233.22,0.00
172.67.220.97,4,4,0.00,233.94,0.00
172.65.10.101,4,4,0.00,234.27,0.00
188.114.96.131,4,4,0.00,234.28,0.00
172.67.226.152,4,4,0.00,235.44,0.00
172.65.52.114,4,4,0.00,235.86,0.00
104.21.68.165,4,4,0.00,236.49,0.00
104.21.203.167,4,4,0.00,236.74,0.00
104.27.95.241,4,4,0.00,236.90,0.00
104.25.82.152,4,4,0.00,237.50,0.00
104.21.201.4,4,4,0.00,237.82,0.00
172.67.168.188,4,4,0.00,237.91,0.00
104.25.242.42,4,4,0.00,238.90,0.00
172.65.32.140,4,4,0.00,238.97,0.00
172.65.50.173,4,4,0.00,239.15,0.00
172.67.152.66,4,4,0.00,239.79,0.00
172.67.167.28,4,4,0.00,240.13,0.00
104.21.209.58,4,4,0.00,240.21,0.00
104.21.58.41,4,4,0.00,240.27,0.00
172.67.209.49,4,4,0.00,240.30,0.00
104.25.25.194,4,4,0.00,240.98,0.00
172.67.195.44,4,4,0.00,241.38,0.00
104.27.51.109,4,4,0.00,242.00,0.00
172.65.23.32,4,4,0.00,242.11,0.00
172.67.160.120,4,4,0.00,242.25,0.00
172.67.218.96,4,4,0.00,242.35,0.00
172.67.118.253,4,4,0.00,242.57,0.00
172.67.216.73,4,4,0.00,242.78,0.00
104.21.109.180,4,4,0.00,243.00,0.00
172.65.19.58,4,4,0.00,243.11,0.00
172.64.36.223,4,4,0.00,243.11,0.00
104.25.13.184,4,4,0.00,243.27,0.00
104.24.205.235,4,4,0.00,243.28,0.00
104.19.207.44,4,4,0.00,243.35,0.00
104.21.219.106,4,4,0.00,243.63,0.00
172.65.72.19,4,4,0.00,243.77,0.00
172.67.103.188,4,4,0.00,243.94,0.00
172.65.17.130,4,4,0.00,243.99,0.00
104.24.243.134,4,4,0.00,244.20,0.00
172.65.147.53,4,4,0.00,244.30,0.00
172.67.221.152,4,4,0.00,244.33,0.00
172.65.15.7,4,4,0.00,244.44,0.00
172.67.113.14,4,4,0.00,244.50,0.00
104.24.192.31,4,4,0.00,244.55,0.00
104.24.193.140,4,4,0.00,244.59,0.00
104.21.114.166,4,4,0.00,244.67,0.00
104.21.8.92,4,4,0.00,244.69,0.00
172.65.38.227,4,4,0.00,244.70,0.00
