IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.19.112.96,4,4,0.00,178.01,0.00
104.16.187.72,4,4,0.00,179.20,0.00
104.19.106.216,4,4,0.00,179.43,0.00
104.19.72.201,4,4,0.00,180.86,0.00
104.19.78.117,4,4,0.00,181.19,0.00
104.19.56.161,4,4,0.00,181.58,0.00
104.19.58.231,4,4,0.00,181.81,0.00
104.19.48.7,4,4,0.00,181.89,0.00
104.19.94.187,4,4,0.00,181.97,0.00
104.17.22.218,4,4,0.00,182.43,0.00
104.19.89.6,4,4,0.00,182.53,0.00
104.19.108.220,4,4,0.00,182.83,0.00
104.19.96.43,4,4,0.00,182.89,0.00
104.19.35.20,4,4,0.00,182.91,0.00
104.19.79.66,4,4,0.00,183.03,0.00
104.19.59.120,4,4,0.00,183.37,0.00
104.19.65.253,4,4,0.00,183.37,0.00
104.17.12.57,4,4,0.00,183.58,0.00
104.19.54.155,4,4,0.00,183.60,0.00
104.17.29.156,4,4,0.00,183.69,0.00
104.19.55.109,4,4,0.00,183.90,0.00
104.16.219.46,4,4,0.00,184.16,0.00
104.19.33.40,4,4,0.00,184.17,0.00
104.19.50.246,4,4,0.00,184.20,0.00
104.19.49.46,4,4,0.00,184.25,0.00
104.17.55.98,4,4,0.00,184.42,0.00
104.17.246.101,4,4,0.00,185.11,0.00
104.19.57.48,4,4,0.00,185.25,0.00
104.19.41.102,4,4,0.00,185.38,0.00
104.19.36.38,4,4,0.00,185.41,0.00
172.65.254.186,4,4,0.00,185.42,0.00
104.17.114.155,4,4,0.00,185.42,0.00
104.19.46.176,4,4,0.00,185.45,0.00
104.17.38.31,4,4,0.00,185.73,0.00
104.16.217.160,4,4,0.00,185.95,0.00
104.17.89.64,4,4,0.00,186.00,0.00
104.17.58.106,4,4,0.00,186.00,0.00
104.19.81.187,4,4,0.00,186.01,0.00
104.19.93.252,4,4,0.00,186.70,0.00
104.19.67.178,4,4,0.00,186.86,0.00
104.19.70.193,4,4,0.00,186.88,0.00
104.19.86.81,4,4,0.00,187.03,0.00
172.64.53.221,4,4,0.00,187.06,0.00
104.17.52.223,4,4,0.00,187.27,0.00
104.19.52.47,4,4,0.00,187.30,0.00
104.17.11.147,4,4,0.00,187.39,0.00
104.19.76.131,4,4,0.00,187.68,0.00
104.19.45.234,4,4,0.00,187.71,0.00
104.19.71.241,4,4,0.00,188.01,0.00
104.19.37.108,4,4,0.00,188.08,0.00
104.17.180.49,4,4,0.00,188.14,0.00
104.19.169.231,4,4,0.00,188.35,0.00
104.19.88.207,4,4,0.00,188.43,0.00
104.19.100.28,4,4,0.00,188.50,0.00
104.18.79.19,4,4,0.00,188.56,0.00
104.17.24.121,4,4,0.00,188.65,0.00
104.19.220.145,4,4,0.00,189.27,0.00
104.19.109.155,4,4,0.00,189.34,0.00
162.159.16.242,4,4,0.00,189.50,0.00
104.17.34.79,4,4,0.00,189.56,0.00
104.19.74.39,4,4,0.00,189.87,0.00
104.16.239.254,4,4,0.00,189.90,0.00
104.19.64.159,4,4,0.00,190.07,0.00
104.19.95.75,4,4,0.00,190.44,0.00
104.16.216.65,4,4,0.00,190.64,0.00
104.19.111.132,4,4,0.00,191.21,0.00
104.19.222.104,4,4,0.00,191.69,0.00
104.17.202.226,4,4,0.00,191.87,0.00
104.19.232.131,4,4,0.00,191.92,0.00
162.159.23.137,4,4,0.00,192.38,0.00
104.19.43.107,4,4,0.00,192.55,0.00
104.17.23.44,4,4,0.00,192.69,0.00
172.65.208.132,4,4,0.00,192.85,0.00
172.65.215.13,4,4,0.00,193.16,0.00
104.17.25.81,4,4,0.00,193.55,0.00
104.17.41.173,4,4,0.00,193.92,0.00
104.19.195.71,4,4,0.00,194.64,0.00
104.19.203.210,4,4,0.00,195.23,0.00
108.162.195.194,4,4,0.00,195.30,0.00
172.64.40.104,4,4,0.00,195.32,0.00
104.16.253.183,4,4,0.00,195.74,0.00
104.17.44.171,4,4,0.00,195.88,0.00
104.17.189.43,4,4,0.00,196.57,0.00
104.16.169.146,4,4,0.00,196.63,0.00
104.19.192.210,4,4,0.00,196.66,0.00
104.16.181.109,4,4,0.00,197.86,0.00
104.19.211.118,4,4,0.00,198.89,0.00
104.17.95.61,4,4,0.00,199.05,0.00
104.17.198.188,4,4,0.00,199.08,0.00
198.41.194.236,4,4,0.00,199.20,0.00
104.17.74.82,4,4,0.00,199.63,0.00
104.19.205.169,4,4,0.00,199.86,0.00
104.17.162.17,4,4,0.00,200.21,0.00
104.16.233.191,4,4,0.00,200.39,0.00
104.17.116.233,4,4,0.00,200.40,0.00
104.16.230.175,4,4,0.00,200.47,0.00
104.17.15.114,4,4,0.00,200.62,0.00
104.16.68.179,4,4,0.00,200.90,0.00
104.16.115.232,4,4,0.00,201.97,0.00
104.17.94.161,4,4,0.00,202.79,0.00
172.64.83.133,4,4,0.00,202.83,0.00
104.17.160.185,4,4,0.00,206.36,0.00
104.16.185.97,4,4,0.00,206.65,0.00
104.16.16.49,4,4,0.00,206.99,0.00
172.65.240.77,4,4,0.00,207.74,0.00
172.65.243.120,4,4,0.00,208.18,0.00
104.16.82.123,4,4,0.00,209.70,0.00
104.19.207.84,4,4,0.00,210.34,0.00
104.19.168.103,4,4,0.00,211.52,0.00
172.65.235.224,4,4,0.00,212.75,0.00
172.64.85.90,4,4,0.00,212.78,0.00
104.19.201.171,4,4,0.00,213.21,0.00
104.17.159.245,4,4,0.00,213.60,0.00
198.41.202.25,4,4,0.00,213.73,0.00
104.19.167.245,4,4,0.00,214.08,0.00
172.65.216.7,4,4,0.00,214.29,0.00
104.16.171.17,4,4,0.00,215.17,0.00
104.17.140.47,4,4,0.00,215.85,0.00
104.16.221.209,4,4,0.00,216.70,0.00
104.17.239.236,4,4,0.00,216.76,0.00
172.64.89.3,4,4,0.00,216.94,0.00
104.17.238.254,4,4,0.00,217.02,0.00
198.41.200.181,4,4,0.00,217.23,0.00
172.65.204.191,4,4,0.00,217.23,0.00
104.21.57.122,4,4,0.00,217.47,0.00
104.17.144.209,4,4,0.00,217.76,0.00
104.16.218.24,4,4,0.00,218.14,0.00
172.65.248.70,4,4,0.00,218.30,0.00
172.64.49.47,4,4,0.00,218.31,0.00
172.65.5.28,4,4,0.00,218.83,0.00
104.17.185.138,4,4,0.00,219.19,0.00
104.17.87.198,4,4,0.00,219.23,0.00
