IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
172.64.229.169,4,4,0.00,165.47,0.00
104.19.23.221,4,4,0.00,193.15,0.00
104.19.252.143,4,4,0.00,194.73,0.00
104.21.225.190,4,4,0.00,195.11,0.00
104.21.229.250,4,4,0.00,196.47,0.00
104.21.233.171,4,4,0.00,196.89,0.00
104.21.236.98,4,4,0.00,196.99,0.00
172.65.87.50,4,4,0.00,197.29,0.00
104.21.237.2,4,4,0.00,197.38,0.00
172.65.86.182,4,4,0.00,197.50,0.00
104.22.24.189,4,4,0.00,198.72,0.00
172.67.21.39,4,4,0.00,198.99,0.00
172.65.84.97,4,4,0.00,199.17,0.00
172.67.20.58,4,4,0.00,200.10,0.00
104.18.19.118,4,4,0.00,200.36,0.00
172.67.45.221,4,4,0.00,200.36,0.00
104.21.232.15,4,4,0.00,200.58,0.00
172.65.94.238,4,4,0.00,200.66,0.00
172.65.88.154,4,4,0.00,201.20,0.00
172.67.47.118,4,4,0.00,201.26,0.00
104.22.25.245,4,4,0.00,201.45,0.00
172.64.153.229,4,4,0.00,202.27,0.00
172.65.90.16,4,4,0.00,202.30,0.00
104.19.106.187,4,4,0.00,202.36,0.00
172.65.91.205,4,4,0.00,202.36,0.00
172.67.25.65,4,4,0.00,202.48,0.00
172.67.28.184,4,4,0.00,202.50,0.00
104.16.219.74,4,4,0.00,203.15,0.00
104.16.220.80,4,4,0.00,203.22,0.00
172.67.29.222,4,4,0.00,203.27,0.00
104.22.23.222,4,4,0.00,203.32,0.00
104.19.244.79,4,4,0.00,203.53,0.00
172.65.93.205,4,4,0.00,203.68,0.00
172.64.40.139,4,4,0.00,204.01,0.00
172.67.39.110,4,4,0.00,204.02,0.00
104.17.79.153,4,4,0.00,204.05,0.00
172.67.37.233,4,4,0.00,204.09,0.00
104.19.250.162,4,4,0.00,204.13,0.00
104.16.213.70,4,4,0.00,204.19,0.00
104.16.215.40,4,4,0.00,204.30,0.00
104.19.246.8,4,4,0.00,204.39,0.00
104.16.214.53,4,4,0.00,204.61,0.00
104.19.126.80,4,4,0.00,204.74,0.00
172.67.36.197,4,4,0.00,204.92,0.00
104.22.62.145,4,4,0.00,204.98,0.00
172.67.35.88,4,4,0.00,205.06,0.00
104.17.68.92,4,4,0.00,205.72,0.00
172.67.23.69,4,4,0.00,205.78,0.00
104.17.77.112,4,4,0.00,205.90,0.00
104.22.28.47,4,4,0.00,205.96,0.00
104.16.37.99,4,4,0.00,206.65,0.00
