IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.25.228.118,4,4,0.00,192.54,6.93
104.25.110.121,4,4,0.00,192.55,6.74
104.23.115.139,4,4,0.00,191.06,6.19
172.67.21.184,4,4,0.00,193.11,6.15
104.18.8.113,4,4,0.00,192.06,5.80
172.67.207.211,4,4,0.00,190.07,5.01
104.19.78.70,4,4,0.00,191.45,4.55
104.18.12.220,4,4,0.00,191.00,3.51
104.18.7.94,4,4,0.00,192.01,3.23
104.25.111.186,4,4,0.00,189.84,2.46
