IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
162.159.251.229,4,4,0.00,185.79,0.00
162.159.44.126,4,4,0.00,185.95,0.00
162.159.243.10,4,4,0.00,186.29,0.00
104.17.49.189,4,4,0.00,187.22,0.00
162.159.247.243,4,4,0.00,188.86,0.00
172.64.40.104,4,4,0.00,188.97,0.00
104.16.122.65,4,4,0.00,192.65,0.00
104.19.254.119,4,4,0.00,193.50,0.00
104.19.243.205,4,4,0.00,194.07,0.00
162.159.39.123,4,4,0.00,196.98,0.00
104.18.31.119,4,4,0.00,198.77,0.00
172.64.89.176,4,4,0.00,199.96,0.00
104.18.28.240,4,4,0.00,200.22,0.00
104.19.241.177,4,4,0.00,201.17,0.00
104.16.201.13,4,4,0.00,201.82,0.00
104.17.235.155,4,4,0.00,203.47,0.00
172.65.31.172,4,4,0.00,209.42,0.00
104.19.136.82,4,4,0.00,211.42,0.00
104.21.78.179,4,4,0.00,211.59,0.00
172.64.88.91,4,4,0.00,212.08,0.00
104.19.133.198,4,4,0.00,212.15,0.00
104.21.40.58,4,4,0.00,213.16,0.00
104.18.22.174,4,4,0.00,213.66,0.00
172.64.87.121,4,4,0.00,214.09,0.00
172.65.26.243,4,4,0.00,214.43,0.00
172.65.62.116,4,4,0.00,214.43,0.00
172.67.232.64,4,4,0.00,214.73,0.00
172.67.146.9,4,4,0.00,214.98,0.00
172.64.95.41,4,4,0.00,214.98,0.00
172.64.91.19,4,4,0.00,215.03,0.00
172.67.248.176,4,4,0.00,215.34,0.00
172.67.250.239,4,4,0.00,215.50,0.00
172.65.50.85,4,4,0.00,215.67,0.00
188.114.98.166,4,4,0.00,215.67,0.00
172.67.210.69,4,4,0.00,215.70,0.00
172.67.162.9,4,4,0.00,215.88,0.00
104.21.38.185,4,4,0.00,216.00,0.00
172.67.142.153,4,4,0.00,216.13,0.00
172.65.24.133,4,4,0.00,216.49,0.00
172.65.212.87,4,4,0.00,217.00,0.00
172.67.137.27,4,4,0.00,217.07,0.00
172.65.29.114,4,4,0.00,217.10,0.00
104.21.237.163,4,4,0.00,217.30,0.00
162.159.50.24,4,4,0.00,217.63,0.00
172.67.231.229,4,4,0.00,217.84,0.00
172.67.218.144,4,4,0.00,218.10,0.00
172.67.253.161,4,4,0.00,218.18,0.00
172.67.161.136,4,4,0.00,218.19,0.00
172.67.145.180,4,4,0.00,218.22,0.00
172.67.242.183,4,4,0.00,218.28,0.00
172.67.175.158,4,4,0.00,218.32,0.00
172.67.234.11,4,4,0.00,218.33,0.00
172.65.58.144,4,4,0.00,218.35,0.00
172.67.212.14,4,4,0.00,218.44,0.00
172.67.152.247,4,4,0.00,218.64,0.00
104.19.245.1,4,4,0.00,218.69,0.00
172.67.167.87,4,4,0.00,218.76,0.00
172.65.54.12,4,4,0.00,218.95,0.00
104.17.254.199,4,4,0.00,219.07,0.00
172.67.235.119,4,4,0.00,219.83,0.00
172.65.9.18,4,4,0.00,219.84,0.00
104.21.223.107,4,4,0.00,220.03,0.00
172.65.11.59,4,4,0.00,220.04,0.00
172.67.159.74,4,4,0.00,220.07,0.00
172.65.30.150,4,4,0.00,220.24,0.00
172.65.35.189,4,4,0.00,220.27,0.00
172.67.149.159,4,4,0.00,220.44,0.00
172.64.85.243,4,4,0.00,220.51,0.00
172.65.240.136,4,4,0.00,220.61,0.00
172.67.148.11,4,4,0.00,220.84,0.00
104.21.18.6,4,4,0.00,220.89,0.00
172.67.221.104,4,4,0.00,220.97,0.00
172.65.55.244,4,4,0.00,221.20,0.00
172.65.51.61,4,4,0.00,221.32,0.00
172.64.92.242,4,4,0.00,221.44,0.00
172.67.200.28,4,4,0.00,221.53,0.00
172.67.136.43,4,4,0.00,221.55,0.00
172.67.132.171,4,4,0.00,221.80,0.00
104.21.114.249,4,4,0.00,221.85,0.00
172.67.170.113,4,4,0.00,221.85,0.00
104.21.89.47,4,4,0.00,221.90,0.00
104.19.143.159,4,4,0.00,222.12,0.00
172.67.154.13,4,4,0.00,222.19,0.00
172.67.165.129,4,4,0.00,222.39,0.00
172.67.160.166,4,4,0.00,222.41,0.00
104.21.45.240,4,4,0.00,222.53,0.00
172.67.229.88,4,4,0.00,222.56,0.00
172.67.213.129,4,4,0.00,222.58,0.00
172.64.84.93,4,4,0.00,222.79,0.00
172.65.45.120,4,4,0.00,222.95,0.00
172.65.17.218,4,4,0.00,223.06,0.00
172.67.138.203,4,4,0.00,223.24,0.00
172.65.28.169,4,4,0.00,223.24,0.00
172.67.176.58,4,4,0.00,223.35,0.00
172.67.144.242,4,4,0.00,223.62,0.00
172.67.128.136,4,4,0.00,223.65,0.00
172.64.80.129,4,4,0.00,223.79,0.00
172.67.173.13,4,4,0.00,223.79,0.00
172.65.5.164,4,4,0.00,223.84,0.00
172.65.53.128,4,4,0.00,223.87,0.00
172.65.220.13,4,4,0.00,223.90,0.00
172.67.129.160,4,4,0.00,224.03,0.00
172.67.239.150,4,4,0.00,224.04,0.00
104.21.126.21,4,4,0.00,224.26,0.00
172.65.19.224,4,4,0.00,224.31,0.00
172.67.206.202,4,4,0.00,224.41,0.00
172.67.225.124,4,4,0.00,224.42,0.00
172.67.205.238,4,4,0.00,224.55,0.00
172.67.243.238,4,4,0.00,224.73,0.00
104.21.80.176,4,4,0.00,224.73,0.00
104.21.116.128,4,4,0.00,224.79,0.00
172.67.245.182,4,4,0.00,224.81,0.00
172.67.150.143,4,4,0.00,224.84,0.00
172.67.254.250,4,4,0.00,225.01,0.00
172.67.172.87,4,4,0.00,225.08,0.00
172.67.139.33,4,4,0.00,225.13,0.00
172.65.25.166,4,4,0.00,225.23,0.00
104.21.59.37,4,4,0.00,225.38,0.00
172.67.181.158,4,4,0.00,225.42,0.00
