IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
172.64.229.44,4,4,0.00,152.44,0.00
104.19.5.149,4,4,0.00,184.76,0.00
141.101.122.134,4,4,0.00,186.07,0.00
104.19.55.145,4,4,0.00,186.94,0.00
104.19.4.25,4,4,0.00,187.46,0.00
104.19.31.85,4,4,0.00,188.91,0.00
104.19.60.210,4,4,0.00,190.42,0.00
104.19.49.234,4,4,0.00,192.96,0.00
104.19.35.178,4,4,0.00,196.11,0.00
141.101.121.91,4,4,0.00,196.56,0.00
104.19.95.140,4,4,0.00,196.60,0.00
173.245.49.85,4,4,0.00,196.68,0.00
104.19.102.198,4,4,0.00,196.74,0.00
104.19.13.20,4,4,0.00,196.83,0.00
141.101.120.227,4,4,0.00,197.08,0.00
104.19.53.212,4,4,0.00,197.62,0.00
104.19.0.199,4,4,0.00,197.81,0.00
104.19.6.65,4,4,0.00,198.09,0.00
104.19.127.74,4,4,0.00,198.16,0.00
104.19.85.22,4,4,0.00,198.73,0.00
104.19.135.53,4,4,0.00,198.89,0.00
104.19.14.171,4,4,0.00,199.08,0.00
104.19.7.95,4,4,0.00,199.16,0.00
104.19.63.121,4,4,0.00,199.26,0.00
104.16.177.249,4,4,0.00,199.41,0.00
104.19.62.159,4,4,0.00,199.89,0.00
104.19.58.181,4,4,0.00,199.90,0.00
104.19.61.17,4,4,0.00,199.92,0.00
104.19.67.188,4,4,0.00,200.61,0.00
172.65.219.55,4,4,0.00,200.83,0.00
104.19.3.190,4,4,0.00,201.20,0.00
104.19.37.228,4,4,0.00,201.32,0.00
104.19.34.65,4,4,0.00,201.59,0.00
162.159.38.83,4,4,0.00,201.65,0.00
104.19.117.143,4,4,0.00,202.45,0.00
104.19.17.50,4,4,0.00,203.52,0.00
104.19.131.38,4,4,0.00,205.43,0.00
104.19.87.40,4,4,0.00,205.71,0.00
104.19.48.117,4,4,0.00,205.86,0.00
104.19.59.181,4,4,0.00,205.87,0.00
104.19.54.33,4,4,0.00,206.27,0.00
104.19.118.218,4,4,0.00,206.31,0.00
172.64.40.23,4,4,0.00,206.54,0.00
104.19.93.234,4,4,0.00,212.77,0.00
104.19.92.146,4,4,0.00,214.35,0.00
104.19.18.101,4,4,0.00,216.05,0.00
104.19.106.56,4,4,0.00,216.32,0.00
104.19.107.113,4,4,0.00,216.40,0.00
104.19.77.80,4,4,0.00,217.87,0.00
104.19.120.174,4,4,0.00,218.06,0.00
104.19.90.197,4,4,0.00,218.74,0.00
104.19.2.213,4,4,0.00,219.20,0.00
104.19.86.37,4,4,0.00,220.36,0.00
104.19.111.146,4,4,0.00,220.56,0.00
104.19.252.229,4,4,0.00,224.72,0.00
172.67.187.162,4,4,0.00,224.72,0.00
172.67.131.14,4,4,0.00,224.90,0.00
172.67.188.31,4,4,0.00,225.92,0.00
172.67.253.187,4,4,0.00,226.17,0.00
104.19.88.116,4,4,0.00,226.23,0.00
172.67.129.104,4,4,0.00,226.33,0.00
172.67.254.58,4,4,0.00,226.35,0.00
172.67.132.118,4,4,0.00,226.68,0.00
172.67.228.157,4,4,0.00,226.77,0.00
172.67.248.252,4,4,0.00,226.87,0.00
172.67.236.96,4,4,0.00,226.91,0.00
172.67.234.120,4,4,0.00,227.11,0.00
172.67.231.122,4,4,0.00,227.23,0.00
172.67.211.160,4,4,0.00,227.24,0.00
172.67.243.4,4,4,0.00,227.32,0.00
172.67.238.127,4,4,0.00,227.34,0.00
172.67.249.250,4,4,0.00,227.34,0.00
172.67.252.18,4,4,0.00,227.43,0.00
172.67.128.140,4,4,0.00,227.63,0.00
172.67.184.228,4,4,0.00,227.86,0.00
104.19.240.199,4,4,0.00,228.07,0.00
172.67.189.8,4,4,0.00,228.48,0.00
172.67.229.109,4,4,0.00,228.70,0.00
172.65.29.200,4,4,0.00,228.83,0.00
172.67.205.121,4,4,0.00,229.32,0.00
172.67.186.177,4,4,0.00,229.46,0.00
172.67.161.217,4,4,0.00,230.09,0.00
172.67.199.237,4,4,0.00,230.09,0.00
172.67.245.183,4,4,0.00,230.23,0.00
172.67.173.101,4,4,0.00,230.43,0.00
172.67.174.163,4,4,0.00,230.50,0.00
172.65.47.39,4,4,0.00,230.58,0.00
172.67.244.175,4,4,0.00,230.60,0.00
172.67.203.74,4,4,0.00,230.82,0.00
172.65.31.60,4,4,0.00,231.27,0.00
172.65.32.38,4,4,0.00,231.63,0.00
104.21.217.31,4,4,0.00,232.13,0.00
172.65.30.151,4,4,0.00,232.53,0.00
172.67.165.176,4,4,0.00,232.98,0.00
172.67.162.193,4,4,0.00,233.07,0.00
172.65.46.3,4,4,0.00,233.15,0.00
104.21.211.240,4,4,0.00,233.50,0.00
172.67.168.86,4,4,0.00,233.54,0.00
172.67.146.238,4,4,0.00,234.04,0.00
172.67.219.28,4,4,0.00,234.13,0.00
104.21.213.27,4,4,0.00,234.16,0.00
172.67.224.199,4,4,0.00,234.26,0.00
172.67.226.111,4,4,0.00,234.28,0.00
172.65.28.197,4,4,0.00,234.28,0.00
172.67.223.33,4,4,0.00,234.47,0.00
172.67.179.60,4,4,0.00,234.57,0.00
172.67.154.181,4,4,0.00,234.89,0.00
172.65.14.36,4,4,0.00,234.92,0.00
172.67.151.166,4,4,0.00,235.15,0.00
172.65.36.185,4,4,0.00,235.45,0.00
172.65.44.48,4,4,0.00,235.59,0.00
104.24.5.58,4,4,0.00,235.73,0.00
172.65.45.80,4,4,0.00,235.86,0.00
172.67.149.159,4,4,0.00,236.07,0.00
172.67.142.185,4,4,0.00,236.13,0.00
104.19.91.101,4,4,0.00,237.11,0.00
172.65.62.24,4,4,0.00,237.35,0.00
172.67.160.206,4,4,0.00,238.06,0.00
104.27.193.142,4,4,0.00,238.60,0.00
104.19.98.113,4,4,0.00,238.74,0.00
172.65.12.50,4,4,0.00,238.77,0.00
104.19.32.77,4,4,0.00,238.86,0.00
172.67.217.13,4,4,0.00,239.64,0.00
172.65.2.138,4,4,0.00,239.69,0.00
172.65.5.23,4,4,0.00,239.73,0.00
104.24.74.9,4,4,0.00,239.74,0.00
172.65.61.228,4,4,0.00,239.96,0.00
172.65.3.32,4,4,0.00,240.02,0.00
172.65.1.64,4,4,0.00,240.03,0.00
172.65.0.228,4,4,0.00,240.03,0.00
172.65.60.12,4,4,0.00,240.07,0.00
172.67.138.134,4,4,0.00,240.08,0.00
172.65.11.159,4,4,0.00,240.13,0.00
172.65.13.47,4,4,0.00,240.13,0.00
172.67.143.200,4,4,0.00,240.30,0.00
172.65.16.100,4,4,0.00,240.33,0.00
172.65.33.146,4,4,0.00,240.66,0.00
172.67.192.84,4,4,0.00,240.83,0.00
104.21.203.180,4,4,0.00,240.87,0.00
172.64.78.146,4,4,0.00,240.88,0.00
172.67.191.182,4,4,0.00,241.07,0.00
172.65.59.25,4,4,0.00,241.22,0.00
172.65.186.192,4,4,0.00,241.25,0.00
172.67.218.51,4,4,0.00,241.44,0.00
104.21.195.213,4,4,0.00,241.50,0.00
172.65.166.95,4,4,0.00,241.59,0.00
172.65.144.178,4,4,0.00,241.62,0.00
172.67.36.111,4,4,0.00,241.63,0.00
