IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.19.3.152,4,4,0.00,184.16,0.00
104.16.223.67,4,4,0.00,185.30,0.00
104.19.136.144,4,4,0.00,186.82,0.00
104.18.114.48,4,4,0.00,186.85,0.00
104.19.134.174,4,4,0.00,187.29,0.00
172.64.153.238,4,4,0.00,189.42,0.00
172.65.85.211,4,4,0.00,190.46,0.00
172.65.86.137,4,4,0.00,190.49,0.00
104.16.33.99,4,4,0.00,191.40,0.00
104.18.51.102,4,4,0.00,191.82,0.00
104.18.50.82,4,4,0.00,192.76,0.00
172.67.18.9,4,4,0.00,192.97,0.00
104.18.18.16,4,4,0.00,193.50,0.00
104.21.228.247,4,4,0.00,194.41,0.00
104.19.248.32,4,4,0.00,194.53,0.00
104.18.36.38,4,4,0.00,194.61,0.00
172.67.19.91,4,4,0.00,194.75,0.00
162.159.240.208,4,4,0.00,195.04,0.00
104.18.113.27,4,4,0.00,195.27,0.00
162.159.45.137,4,4,0.00,195.29,0.00
104.17.129.23,4,4,0.00,195.38,0.00
104.21.236.159,4,4,0.00,195.45,0.00
162.159.249.50,4,4,0.00,196.02,0.00
172.67.28.123,4,4,0.00,196.57,0.00
172.67.29.77,4,4,0.00,196.98,0.00
104.16.210.112,4,4,0.00,197.34,0.00
104.16.218.143,4,4,0.00,197.50,0.00
104.16.208.231,4,4,0.00,197.57,0.00
104.16.215.146,4,4,0.00,197.67,0.00
104.17.64.202,4,4,0.00,197.83,0.00
104.19.138.168,4,4,0.00,198.08,0.00
104.21.234.221,4,4,0.00,198.16,0.00
172.67.35.133,4,4,0.00,198.17,0.00
104.17.135.173,4,4,0.00,198.17,0.00
172.67.44.245,4,4,0.00,198.50,0.00
172.67.24.10,4,4,0.00,198.57,0.00
172.67.23.96,4,4,0.00,198.65,0.00
172.65.91.21,4,4,0.00,198.95,0.00
104.17.78.92,4,4,0.00,198.97,0.00
104.16.126.0,4,4,0.00,199.04,0.00
104.22.28.118,4,4,0.00,199.36,0.00
104.22.56.200,4,4,0.00,199.44,0.00
172.67.46.181,4,4,0.00,199.49,0.00
172.67.32.176,4,4,0.00,199.50,0.00
104.17.74.164,4,4,0.00,199.59,0.00
172.67.45.190,4,4,0.00,200.10,0.00
172.64.146.141,4,4,0.00,200.16,0.00
172.67.30.17,4,4,0.00,200.30,0.00
172.65.90.104,4,4,0.00,200.70,0.00
104.19.132.212,4,4,0.00,200.73,0.00
104.17.75.217,4,4,0.00,200.80,0.00
172.67.47.186,4,4,0.00,200.98,0.00
104.16.213.120,4,4,0.00,201.28,0.00
104.17.131.132,4,4,0.00,201.30,0.00
104.17.133.230,4,4,0.00,201.37,0.00
172.67.43.149,4,4,0.00,201.79,0.00
104.16.118.141,4,4,0.00,202.09,0.00
172.65.89.235,4,4,0.00,202.11,0.00
104.16.214.49,4,4,0.00,202.28,0.00
172.67.41.187,4,4,0.00,202.57,0.00
172.65.84.127,4,4,0.00,202.73,0.00
104.22.55.146,4,4,0.00,202.95,0.00
172.65.87.114,4,4,0.00,203.04,0.00
172.64.154.146,4,4,0.00,204.05,0.00
172.67.38.83,4,4,0.00,204.18,0.00
104.18.118.15,4,4,0.00,204.56,0.00
172.65.81.90,4,4,0.00,204.78,0.00
104.19.111.84,4,4,0.00,205.32,0.00
172.65.83.218,4,4,0.00,205.32,0.00
172.67.26.18,4,4,0.00,205.36,0.00
172.65.93.6,4,4,0.00,205.90,0.00
172.67.31.4,4,4,0.00,205.92,0.00
104.18.49.101,4,4,0.00,206.01,0.00
172.67.37.94,4,4,0.00,206.18,0.00
172.65.88.86,4,4,0.00,206.43,0.00
162.159.38.62,4,4,0.00,206.55,0.00
162.159.255.191,4,4,0.00,206.55,0.00
172.67.22.64,4,4,0.00,206.59,0.00
162.159.39.4,4,4,0.00,206.69,0.00
104.18.41.96,4,4,0.00,207.18,0.00
172.67.16.137,4,4,0.00,207.54,0.00
172.67.17.247,4,4,0.00,207.83,0.00
104.17.137.205,4,4,0.00,207.92,0.00
104.17.72.192,4,4,0.00,208.88,0.00
104.17.69.30,4,4,0.00,209.26,0.00
104.16.41.169,4,4,0.00,209.27,0.00
172.67.40.169,4,4,0.00,209.33,0.00
172.67.42.28,4,4,0.00,209.57,0.00
172.67.21.238,4,4,0.00,210.31,0.00
104.16.217.177,4,4,0.00,210.87,0.00
172.67.20.119,4,4,0.00,211.21,0.00
172.67.34.154,4,4,0.00,212.49,0.00
172.67.33.187,4,4,0.00,212.70,0.00
172.65.80.50,4,4,0.00,213.67,0.00
104.18.60.203,4,4,0.00,214.42,0.00
172.67.36.59,4,4,0.00,214.61,0.00
172.65.82.214,4,4,0.00,223.95,0.00
172.65.26.32,4,4,0.00,227.71,0.00
104.21.104.201,4,4,0.00,227.92,0.00
172.65.57.109,4,4,0.00,232.74,0.00
