IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.25.147.34,4,4,0.00,187.16,0.00
104.21.126.5,4,4,0.00,190.97,0.00
172.65.169.164,4,4,0.00,191.94,0.00
141.101.90.197,4,4,0.00,192.43,0.00
104.25.59.188,4,4,0.00,192.61,0.00
104.24.217.158,4,4,0.00,193.38,0.00
141.101.113.239,4,4,0.00,193.42,0.00
172.67.254.250,4,4,0.00,193.90,0.00
173.245.59.14,4,4,0.00,194.25,0.00
104.25.124.201,4,4,0.00,194.59,0.00
104.25.105.137,4,4,0.00,194.63,0.00
104.25.52.47,4,4,0.00,195.11,0.00
198.41.207.101,4,4,0.00,195.80,0.00
141.101.121.226,4,4,0.00,196.95,0.00
104.21.124.51,4,4,0.00,197.13,0.00
104.25.21.206,4,4,0.00,197.21,0.00
173.245.49.241,4,4,0.00,197.28,0.00
104.25.160.197,4,4,0.00,197.65,0.00
104.20.235.139,4,4,0.00,197.70,0.00
104.24.251.186,4,4,0.00,197.90,0.00
172.64.101.220,4,4,0.00,198.18,0.00
141.101.123.224,4,4,0.00,198.56,0.00
104.25.62.228,4,4,0.00,199.02,0.00
104.24.220.45,4,4,0.00,199.13,0.00
198.41.211.90,4,4,0.00,199.25,0.00
172.67.173.105,4,4,0.00,199.47,0.00
173.245.58.215,4,4,0.00,199.80,0.00
104.25.22.149,4,4,0.00,200.13,0.00
104.25.125.4,4,4,0.00,200.19,0.00
104.25.126.79,4,4,0.00,200.44,0.00
104.25.162.77,4,4,0.00,200.50,0.00
172.65.58.237,4,4,0.00,202.39,0.00
104.25.12.197,4,4,0.00,202.94,0.00
104.21.122.138,4,4,0.00,203.68,0.00
104.22.73.27,4,4,0.00,204.61,0.00
172.65.47.147,4,4,0.00,204.65,0.00
172.67.216.80,4,4,0.00,206.21,0.00
104.22.74.211,4,4,0.00,206.60,0.00
104.20.230.189,4,4,0.00,206.99,0.00
104.25.103.94,4,4,0.00,207.18,0.00
104.20.229.241,4,4,0.00,209.24,0.00
104.22.47.21,4,4,0.00,209.38,0.00
104.17.253.94,4,4,0.00,209.61,0.00
104.20.228.223,4,4,0.00,211.10,0.00
104.22.70.31,4,4,0.00,212.16,0.00
104.20.247.33,4,4,0.00,212.20,0.00
104.22.46.50,4,4,0.00,213.64,0.00
104.21.210.252,4,4,0.00,215.17,0.00
104.21.25.80,4,4,0.00,215.35,0.00
104.20.240.17,4,4,0.00,217.17,0.00
104.20.239.139,4,4,0.00,217.48,0.00
104.20.236.153,4,4,0.00,218.27,0.00
104.22.0.180,4,4,0.00,218.31,0.00
104.21.232.22,4,4,0.00,219.16,0.00
104.16.223.195,4,4,0.00,219.18,0.00
198.41.199.165,4,4,0.00,219.63,0.00
198.41.202.254,4,4,0.00,219.67,0.00
198.41.206.65,4,4,0.00,219.90,0.00
104.21.237.12,4,4,0.00,219.97,0.00
104.21.227.148,4,4,0.00,220.16,0.00
188.114.99.148,4,4,0.00,220.23,0.00
104.21.234.204,4,4,0.00,220.27,0.00
141.101.122.168,4,4,0.00,220.66,0.00
104.21.235.204,4,4,0.00,220.82,0.00
104.21.230.36,4,4,0.00,221.27,0.00
198.41.201.96,4,4,0.00,221.44,0.00
198.41.198.71,4,4,0.00,221.48,0.00
198.41.204.129,4,4,0.00,221.50,0.00
198.41.203.41,4,4,0.00,221.61,0.00
198.41.205.71,4,4,0.00,221.62,0.00
198.41.197.110,4,4,0.00,221.75,0.00
198.41.194.201,4,4,0.00,221.75,0.00
